K,Encoder_Time_s,Encoder_Energy_J,Encoder_Power_W,Decoder_Time_s,Decoder_Energy_J,Decoder_Power_W,Total_Time_s,Total_Energy_J,Total_Power_W,Num_Images
5,3.7422,45.2100,12.08,0.5729,7.8150,13.64,4.3151,53.0250,12.29,10
10,3.7422,45.2100,12.08,0.5657,7.5900,13.42,4.3079,52.8000,12.26,10
15,3.7422,45.2100,12.08,0.6022,8.0700,13.40,4.3443,53.2800,12.26,10
20,3.7422,45.2100,12.08,0.6640,8.9100,13.42,4.4061,54.1200,12.28,10
25,3.7422,45.2100,12.08,0.6542,8.6400,13.21,4.3963,53.8500,12.25,10
30,3.7422,45.2100,12.08,0.8624,11.7600,13.64,4.6046,56.9700,12.37,10
40,3.7422,45.2100,12.08,0.5942,7.9200,13.33,4.3363,53.1300,12.25,10
50,3.7422,45.2100,12.08,0.7676,10.4100,13.56,4.5097,55.6200,12.33,10
100,3.7422,45.2100,12.08,0.6831,9.3150,13.64,4.4253,54.5250,12.32,10
200,3.7422,45.2100,12.08,0.7749,10.6800,13.78,4.5171,55.8900,12.37,10
300,3.7422,45.2100,12.08,0.9047,12.4050,13.71,4.6468,57.6150,12.40,10
