K,Num_Threads,Num_Images,Overall_mAP,mAP_50,mAP_75,Total_Time_s,Total_Energy_J,Avg_Time_per_Image_s,Avg_Power_W,Avg_Energy_per_Image_J,Num_Predictions
5,1,5,0.2634,0.3039,0.3039,7.502,112.35,1.500,14.98,22.47,25
10,1,5,0.3462,0.4074,0.3991,7.543,113.25,1.509,15.01,22.65,50
15,1,5,0.3688,0.4365,0.4275,7.519,112.80,1.504,15.00,22.56,75
20,1,5,0.4133,0.5132,0.4707,7.497,112.35,1.499,14.99,22.47,100
25,1,5,0.4376,0.5427,0.5092,7.519,112.80,1.504,15.00,22.56,125
30,1,5,0.4333,0.5701,0.5037,7.532,112.80,1.506,14.98,22.56,150
40,1,5,0.4693,0.6143,0.5247,7.595,113.85,1.519,14.99,22.77,200
50,1,5,0.4757,0.6160,0.5468,7.576,113.55,1.515,14.99,22.71,250
100,1,5,0.4937,0.6493,0.5709,7.632,114.30,1.526,14.98,22.86,500
200,1,5,0.4887,0.6318,0.5600,7.793,116.85,1.559,14.99,23.37,1000
300,1,5,0.4760,0.6089,0.5526,7.982,119.85,1.596,15.02,23.97,1500
500,1,5,0.4796,0.6082,0.5557,8.384,125.85,1.677,15.01,25.17,2500
1000,1,5,0.4829,0.6130,0.5626,9.611,144.15,1.922,15.00,28.83,5000
1500,1,5,0.4927,0.6568,0.5591,11.234,168.45,2.247,14.99,33.69,7500
