K,Optimal_Threads,CPU_Utilization_%,Overall_mAP,mAP_50,Avg_Time_s,Avg_Power_W,Avg_Energy_J,Total_Time_s,Total_Energy_J,Num_Predictions
5,4,39.2,0.2634,0.3039,0.4928,58.87,29.01,2.46,145.05,25
10,4,39.5,0.3462,0.4074,0.4885,59.26,28.95,2.44,144.75,50
15,4,39.4,0.3688,0.4365,0.5096,59.05,30.09,2.55,150.45,75
20,4,39.2,0.4133,0.5132,0.5168,58.86,30.42,2.58,152.10,100
25,4,39.4,0.4376,0.5427,0.5254,59.04,31.02,2.63,155.10,125
30,4,39.3,0.4333,0.5701,0.5371,58.99,31.68,2.69,158.40,150
40,4,39.2,0.4693,0.6143,0.5549,58.73,32.58,2.77,162.90,200
50,4,39.3,0.4757,0.6160,0.5431,58.94,32.01,2.72,160.05,250
100,4,38.7,0.4937,0.6493,0.5846,57.99,33.90,2.92,169.50,500
200,4,38.3,0.4887,0.6318,0.5869,57.45,33.72,2.93,168.60,1000
300,4,38.9,0.4760,0.6089,0.5957,58.37,34.77,2.98,173.85,1500
500,4,38.6,0.4796,0.6082,0.6156,57.95,35.67,3.08,178.35,2500
1000,4,38.7,0.4829,0.6130,0.7211,58.03,41.85,3.61,209.25,5000
1500,4,39.5,0.4927,0.6568,0.8257,59.30,48.96,4.13,244.80,7500
