K,Encoder_Time_s,Encoder_Power_W,Encoder_Energy_J,Decoder_Time_s,Decoder_Power_W,Decoder_Energy_J,Target_Time_s,Num_Images
5,3.6648,121.72,446.10,1.2196,14.98,18.27,1.0,10
10,3.6648,121.72,446.10,1.2364,15.02,18.57,1.0,10
15,3.6648,121.72,446.10,1.2542,15.02,18.84,1.0,10
20,3.6648,121.72,446.10,0.7004,29.26,20.49,1.0,10
25,3.6648,121.72,446.10,0.7056,29.13,20.55,1.0,10
30,3.6648,121.72,446.10,0.5201,43.49,22.62,1.0,10
40,3.6648,121.72,446.10,0.4662,57.14,26.64,1.0,10
50,3.6648,121.72,446.10,0.7224,70.64,51.03,1.0,10
100,3.6648,121.72,446.10,0.5556,134.58,74.78,1.0,10
200,3.6648,121.72,446.10,0.6840,137.53,94.06,1.0,10
300,3.6648,121.72,446.10,0.7165,137.84,98.76,1.0,10
