K,Threads,CPU_Util_%,mAP,mAP_50,mAP_75,Avg_Time_s,Avg_Power_W,Avg_Energy_J,Total_Time_s,Total_Energy_J,Num_Predictions
5,1,10.0,0.2663,0.2991,0.2991,1.4966,15.00,22.45,4.49,67.35,15
10,1,10.0,0.3381,0.3809,0.3809,1.5686,14.98,23.50,4.71,70.50,30
15,1,10.0,0.3558,0.4044,0.4044,1.5059,15.01,22.60,4.52,67.80,45
20,1,10.0,0.4073,0.4917,0.4567,1.4997,15.00,22.50,4.50,67.50,60
25,2,19.9,0.4220,0.5089,0.4871,0.8051,29.81,24.00,2.42,72.00,75
30,2,19.9,0.4251,0.5527,0.4871,0.8050,29.81,24.00,2.42,72.00,90
40,2,19.9,0.4635,0.6000,0.5059,0.8073,29.79,24.05,2.42,72.15,120
50,2,19.9,0.4663,0.6005,0.5327,0.8108,29.79,24.15,2.43,72.45,150
100,3,29.4,0.4889,0.6229,0.5618,0.6187,44.13,27.30,1.86,81.90,300
200,4,38.3,0.4962,0.6315,0.5509,0.5412,57.46,31.10,1.62,93.30,600
300,6,54.2,0.4771,0.5933,0.5526,0.6668,81.36,54.25,2.00,162.75,900
500,8,70.6,0.4776,0.5910,0.5541,0.6111,105.87,64.70,1.83,194.10,1500
1000,9,77.7,0.4794,0.5893,0.5541,0.7257,116.58,84.60,2.18,253.80,3000
1500,10,87.3,0.4915,0.6423,0.5521,1.0640,130.94,139.35,3.19,418.05,4500
