Num_Threads,K,Target_Time_s,Time_Error_Pct,mAP,mAP_50,mAP_75,Encoder_Time_s,Encoder_Power_W,Encoder_Energy_J,Decoder_Time_s,Decoder_Power_W,Decoder_Power_Std_W,Decoder_Energy_J,Total_Time_s,Total_Power_W,Total_Energy_J,CPU_Utilization,Freq_Ratio
1,5,1.0,37.22,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6278,15.05,0.00,9.45,2.9556,60.90,180.00,0.1004,1.0000
1,10,1.0,38.12,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6188,15.03,0.00,9.30,2.9466,61.04,179.85,0.1002,1.0000
1,15,1.0,37.35,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6265,14.84,0.00,9.30,2.9543,60.88,179.85,0.0990,1.0000
1,20,1.0,36.78,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6322,14.95,0.00,9.45,2.9601,60.81,180.00,0.0996,1.0000
1,25,1.0,36.01,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6399,15.00,0.00,9.60,2.9678,60.70,180.15,0.1000,1.0000
1,30,1.0,35.46,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6454,15.11,0.00,9.75,2.9733,60.64,180.30,0.1007,1.0000
1,40,1.0,34.13,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6587,15.03,0.00,9.90,2.9865,60.42,180.45,0.1002,1.0000
1,50,1.0,32.73,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.6727,15.16,0.00,10.20,3.0005,60.24,180.75,0.1011,1.0000
1,100,1.0,25.42,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.7458,14.88,0.00,11.10,3.0737,59.10,181.65,0.0992,1.0000
1,200,1.0,5.37,0.0000,0.0000,0.0000,2.3279,73.26,170.55,0.9463,14.90,0.00,14.10,3.2741,56.40,184.65,0.0993,1.0000
1,300,1.0,7.98,0.0000,0.0000,0.0000,2.3279,73.26,170.55,1.0798,15.00,0.00,16.20,3.4077,54.80,186.75,0.1000,1.0000
1,500,1.0,49.66,0.0000,0.0000,0.0000,2.3279,73.26,170.55,1.4966,14.93,0.00,22.35,3.8245,50.44,192.90,0.0996,1.0000
1,1000,1.0,192.21,0.0000,0.0000,0.0000,2.3279,73.26,170.55,2.9221,15.04,0.00,43.95,5.2499,40.86,214.50,0.1003,1.0000
1,1500,1.0,388.28,0.0000,0.0000,0.0000,2.3279,73.26,170.55,4.8828,14.96,0.00,73.05,7.2106,33.78,243.60,0.0997,1.0000
1,5,2.0,66.30,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.6741,14.91,0.00,10.05,4.8199,69.15,333.30,0.0994,1.0000
1,10,2.0,67.16,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.6568,15.07,0.00,9.90,4.8026,69.37,333.15,0.1005,1.0000
1,15,2.0,65.27,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.6947,15.12,0.00,10.50,4.8405,68.95,333.75,0.1008,1.0000
1,20,2.0,63.71,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.7259,14.88,0.00,10.80,4.8718,68.57,334.05,0.0992,1.0000
1,25,2.0,64.60,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.7080,14.83,0.00,10.50,4.8538,68.76,333.75,0.0989,1.0000
1,30,2.0,64.49,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.7101,15.00,0.00,10.65,4.8560,68.76,333.90,0.1000,1.0000
1,40,2.0,64.56,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.7088,15.03,0.00,10.65,4.8547,68.78,333.90,0.1002,1.0000
1,50,2.0,62.89,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.7422,15.16,0.00,11.25,4.8881,68.43,334.50,0.1010,1.0000
1,100,2.0,59.41,0.0000,0.0000,0.0000,4.1459,77.97,323.25,0.8118,14.97,0.00,12.15,4.9576,67.65,335.40,0.0998,1.0000
1,200,2.0,49.52,0.0000,0.0000,0.0000,4.1459,77.97,323.25,1.0095,15.01,0.00,15.15,5.1554,65.64,338.40,0.1000,1.0000
1,300,2.0,41.90,0.0000,0.0000,0.0000,4.1459,77.97,323.25,1.1619,15.10,0.00,17.55,5.3078,64.21,340.80,0.1007,1.0000
1,500,2.0,21.22,0.0000,0.0000,0.0000,4.1459,77.97,323.25,1.5756,14.95,0.00,23.55,5.7215,60.61,346.80,0.0996,1.0000
1,1000,2.0,47.44,0.0000,0.0000,0.0000,4.1459,77.97,323.25,2.9488,15.01,0.00,44.25,7.0947,51.80,367.50,0.1000,1.0000
1,1500,2.0,134.42,0.0000,0.0000,0.0000,4.1459,77.97,323.25,4.6884,15.01,0.00,70.35,8.8343,44.55,393.60,0.1000,1.0000
10,5,3.0,88.35,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.3495,133.47,0.00,46.65,4.5948,81.91,376.35,0.8898,1.0000
10,10,3.0,86.01,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4198,131.13,0.00,55.05,4.6651,82.47,384.75,0.8742,1.0000
10,15,3.0,84.91,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4526,128.58,0.00,58.20,4.6979,82.57,387.90,0.8572,1.0000
10,20,3.0,86.02,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4193,127.36,0.00,53.40,4.6645,82.13,383.10,0.8491,1.0000
10,25,3.0,85.49,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4353,127.16,0.00,55.35,4.6805,82.27,385.05,0.8478,1.0000
10,30,3.0,85.77,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4270,122.26,0.00,52.20,4.6722,81.74,381.90,0.8151,1.0000
10,40,3.0,85.78,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4265,119.59,0.00,51.00,4.6717,81.49,380.70,0.7973,1.0000
10,50,3.0,83.48,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4957,119.54,0.00,59.25,4.7409,82.04,388.95,0.7969,1.0000
10,100,3.0,83.89,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.4834,122.25,0.00,59.10,4.7287,82.22,388.80,0.8150,1.0000
10,200,3.0,82.13,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.5362,128.41,0.00,68.85,4.7814,83.35,398.55,0.8561,1.0000
10,300,3.0,76.94,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.6917,132.06,0.00,91.35,4.9370,85.28,421.05,0.8804,1.0000
10,500,3.0,68.39,0.0000,0.0000,0.0000,4.2452,77.66,329.70,0.9482,136.84,0.00,129.75,5.1934,88.47,459.45,0.9123,1.0000
10,1000,3.0,42.38,0.0000,0.0000,0.0000,4.2452,77.66,329.70,1.7287,139.26,0.00,240.75,5.9740,95.49,570.45,0.9284,1.0000
10,1500,3.0,16.69,0.0000,0.0000,0.0000,4.2452,77.66,329.70,2.4992,138.52,0.00,346.20,6.7445,100.22,675.90,0.9235,1.0000
