K,Target_Time_s,Actual_Decoder_Time_s,Decoder_Power_W
5,1.0,2.3118,14.99
10,1.0,2.2986,14.99
15,1.0,2.3786,15.01
20,1.0,2.5526,15.00
25,1.0,3.2710,14.93
30,1.0,3.1445,14.94
40,1.0,2.3797,15.00
50,1.0,2.3188,15.03
100,1.0,1.1039,44.10
200,1.0,1.0292,84.68
300,1.0,1.0235,84.91
500,1.0,1.0083,85.00
1000,1.0,0.8668,109.99
1500,1.0,0.9003,110.58
5,2.0,2.3818,14.99
10,2.0,3.6022,14.95
15,2.0,3.4973,15.00
20,2.0,3.0686,14.97
25,2.0,2.5236,15.02
30,2.0,2.6036,15.02
40,2.0,2.4790,14.99
50,2.0,2.5277,14.97
100,2.0,2.4427,14.98
200,2.0,2.4911,14.99
300,2.0,2.5723,14.99
500,2.0,2.4250,14.99
1000,2.0,2.4661,15.00
1500,2.0,1.8226,108.57
5,3.0,2.6724,14.98
10,3.0,3.1383,14.97
15,3.0,4.3519,14.74
20,3.0,3.4559,14.98
25,3.0,3.3955,14.99
30,3.0,3.8458,14.99
40,3.0,3.8429,15.00
50,3.0,3.7095,14.99
100,3.0,3.8060,14.99
200,3.0,4.0217,14.99
300,3.0,4.2668,15.00
500,3.0,3.4966,15.00
1000,3.0,3.7172,57.28
1500,3.0,2.8959,65.68
5,4.0,3.7717,15.01
10,4.0,3.4569,15.00
15,4.0,3.2318,15.00
20,4.0,4.2344,14.95
25,4.0,3.4025,14.99
30,4.0,3.2093,15.01
40,4.0,3.6144,15.00
50,4.0,3.6375,14.98
100,4.0,3.0841,15.00
200,4.0,4.3248,14.96
300,4.0,4.2299,14.98
500,4.0,3.1315,15.01
1000,4.0,4.0687,14.98
1500,4.0,4.0975,57.91
5,5.0,4.1843,15.00
10,5.0,4.4574,14.96
15,5.0,3.3050,14.99
20,5.0,4.0096,14.99
25,5.0,2.1597,15.00
30,5.0,2.1452,14.99
40,5.0,2.1478,14.99
50,5.0,2.1470,15.00
100,5.0,2.1446,15.01
200,5.0,2.1456,14.98
300,5.0,2.1439,15.00
500,5.0,2.1461,15.00
1000,5.0,2.1453,14.99
1500,5.0,2.1447,14.97
