K,Target_Time_s,Actual_Decoder_Time_s,Decoder_Power_W
5,1.0,1.2837,15.03
10,1.0,1.2762,15.04
15,1.0,1.3444,15.02
20,1.0,1.3851,14.98
25,1.0,1.4887,15.01
30,1.0,1.5115,15.02
35,1.0,1.5881,14.99
40,1.0,1.6718,15.01
45,1.0,1.8424,14.98
50,1.0,1.9307,14.89
55,1.0,1.9265,15.00
60,1.0,2.0038,14.97
65,1.0,1.3315,26.96
70,1.0,1.2683,27.70
75,1.0,1.2987,28.28
80,1.0,1.3501,27.49
85,1.0,1.3006,27.96
90,1.0,1.2429,37.74
95,1.0,1.1379,38.94
100,1.0,1.1322,38.87
150,1.0,1.4866,57.59
200,1.0,1.7758,60.39
250,1.0,1.9233,73.12
300,1.0,3.2797,69.08
350,1.0,3.4425,69.56
400,1.0,6.8421,45.50
450,1.0,4.9311,58.56
500,1.0,4.1035,63.35
600,1.0,4.2947,61.28
700,1.0,4.9935,64.25
800,1.0,4.8146,66.18
900,1.0,5.5322,62.87
1000,1.0,8.2822,60.58
1100,1.0,5.7963,66.85
1200,1.0,5.8741,66.39
1300,1.0,8.4543,66.75
1400,1.0,4.1487,108.57
1500,1.0,4.2904,106.87
5,2.0,1.5110,14.99
10,2.0,1.5061,14.97
15,2.0,1.5195,15.01
20,2.0,1.5348,15.02
25,2.0,1.5399,14.97
30,2.0,1.5500,15.00
35,2.0,1.6992,15.01
40,2.0,1.8288,14.98
45,2.0,1.9035,15.02
50,2.0,2.1260,14.82
55,2.0,2.0248,14.84
60,2.0,2.0733,14.64
65,2.0,2.1320,14.61
70,2.0,2.1544,14.60
75,2.0,2.4905,13.93
80,2.0,2.4149,14.74
85,2.0,2.5067,14.43
90,2.0,2.1802,14.86
95,2.0,2.3056,14.88
100,2.0,2.2358,14.87
150,2.0,1.6172,27.17
200,2.0,1.4331,38.46
250,2.0,1.7818,46.53
300,2.0,1.9923,53.75
350,2.0,2.2028,52.43
400,2.0,2.6219,56.27
450,2.0,3.1118,56.27
500,2.0,3.4740,57.69
600,2.0,4.1901,62.30
700,2.0,5.2429,60.88
800,2.0,6.1035,50.77
900,2.0,8.7162,50.67
1000,2.0,6.8134,68.03
1100,2.0,3.3006,109.84
1200,2.0,3.3937,109.37
1300,2.0,3.7554,108.52
1400,2.0,4.1780,107.43
1500,2.0,4.4636,106.65
5,3.0,1.5009,14.96
10,3.0,1.5014,15.02
15,3.0,1.4949,14.98
20,3.0,1.4896,15.00
25,3.0,1.6427,15.01
30,3.0,1.8998,15.00
35,3.0,1.9814,14.84
40,3.0,2.1493,14.96
45,3.0,2.2039,14.90
50,3.0,1.7269,15.00
55,3.0,1.8622,15.01
60,3.0,1.8318,15.01
65,3.0,1.9551,14.99
70,3.0,1.9647,14.99
75,3.0,2.0262,14.98
80,3.0,2.1233,15.02
85,3.0,2.1291,15.01
90,3.0,2.1345,14.63
95,3.0,2.1627,14.94
100,3.0,2.1918,14.90
150,3.0,2.4061,14.86
200,3.0,1.7075,27.60
250,3.0,1.8033,27.18
300,3.0,1.7905,37.29
350,3.0,2.4246,34.01
400,3.0,2.8815,37.43
450,3.0,4.0308,34.11
500,3.0,2.9823,48.39
600,3.0,2.8224,57.39
700,3.0,3.5975,64.47
800,3.0,4.4167,64.01
900,3.0,2.4796,123.14
1000,3.0,2.5223,122.32
1100,3.0,2.7784,122.32
